date,place,sun_dur,prec,weather_label,weather_no
230926,odawara,0.95,0.0,cnrn,9
230926,ebina,0.883,0.0,cfrn,6
230926,gotenba,0.95,0.0,cnrn,9
230927,odawara,0.367,0.0,cfrn,6
230927,ebina,0.05,0.0,cyrn,3
230927,gotenba,0.417,0.0,cfrn,6
230928,odawara,0.75,0.0,cfrn,6
230928,ebina,0.8,0.0,cfrn,6
230928,gotenba,0.717,0.0,cfrn,6
230929,odawara,0.267,0.0,cfrn,6
230929,ebina,0.05,0.0,cyrn,3
230929,gotenba,0.15,0.0,cfrn,6
230930,odawara,0.017,0.5,cyrf,2
230930,ebina,0.017,0.0,cyrn,3
230930,gotenba,0.267,0.0,cfrn,6
231001,odawara,0.0,1.0,cyrf,2
231001,ebina,0.05,0.0,cyrn,3
231001,gotenba,0.5,0.0,cfrn,6
231002,odawara,0.817,0.0,cfrn,6
231002,ebina,0.8,0.0,cfrn,6
231002,gotenba,0.383,0.0,cfrn,6
231003,odawara,0.967,0.0,cnrn,9
231003,ebina,1.0,0.0,cnrn,9
231003,gotenba,0.933,0.0,cnrn,9
231004,odawara,0.0,54.0,cyry,1
231004,ebina,0.0,71.0,cyry,1
231004,gotenba,0.0,28.0,cyry,1
231005,odawara,0.083,0.0,cyrn,3
231005,ebina,0.083,0.0,cyrn,3
231005,gotenba,0.333,0.0,cfrn,6
231006,odawara,0.967,0.0,cnrn,9
231006,ebina,0.983,0.0,cnrn,9
231006,gotenba,0.967,0.0,cnrn,9
231007,odawara,0.7,0.0,cfrn,6
231007,ebina,0.7,0.0,cfrn,6
231007,gotenba,0.767,0.0,cfrn,6
231008,odawara,0.067,0.0,cyrn,3
231008,ebina,0.0,0.0,cyrn,3
231008,gotenba,0.017,0.0,cyrn,3
231009,odawara,0.0,15.0,cyry,1
231009,ebina,0.0,25.0,cyry,1
231009,gotenba,0.0,31.0,cyry,1
231010,odawara,0.183,11.5,cfry,4
231010,ebina,0.217,16.5,cfry,4
231010,gotenba,0.067,29.0,cyry,1
231011,odawara,0.1,0.0,cyrn,3
231011,ebina,0.383,0.0,cfrn,6
231011,gotenba,0.083,0.0,cyrn,3
231012,odawara,0.983,0.0,cnrn,9
231012,ebina,0.95,0.0,cnrn,9
231012,gotenba,0.95,0.0,cnrn,9
231013,odawara,0.983,0.0,cnrn,9
231013,ebina,0.967,0.0,cnrn,9
231013,gotenba,0.95,0.0,cnrn,9
231014,odawara,0.533,0.0,cfrn,6
231014,ebina,0.5,0.0,cfrn,6
231014,gotenba,0.483,0.0,cfrn,6
231015,odawara,0.0,38.5,cyry,1
231015,ebina,0.0,44.5,cyry,1
231015,gotenba,0.033,35.0,cyry,1
231016,odawara,0.967,0.0,cnrn,9
